,date,max_temp °C,min_temp °C,radiation MJ/m²,precipitation_sum mm,rain mm,precipitation_hours,windspeed km/h,wind_direction °
0,01/01/2021,20,16.2,23.86,1.2,1.2,3,22.4,356
1,02/01/2021,19.5,16.5,24.68,1.2,1.2,5,25.2,342
2,03/01/2021,19.7,15.4,28.64,0,0,0,26.9,330
3,04/01/2021,20.2,15.6,33.18,0,0,0,23.5,351
4,05/01/2021,20.7,17.8,24.81,0,0,0,23.7,338
5,06/01/2021,20.5,17.3,22.51,2.1,2.1,6,36.7,335
6,07/01/2021,18.8,16.9,18.79,3,3,12,31.4,300
7,08/01/2021,19.8,14,22.89,0.4,0.4,1,22.9,166
8,09/01/2021,19.7,15.3,27.48,0,0,0,29,349
9,10/01/2021,19.9,14.9,24.39,0,0,0,28.1,11
10,11/01/2021,21.8,14.3,23.71,0.8,0.8,5,16.3,75
11,12/01/2021,21.7,16.9,27.62,0,0,0,15.7,357
12,13/01/2021,22,16.3,29.23,0,0,0,13.4,349
13,14/01/2021,23.3,16.1,27.89,0,0,0,8.3,80
14,15/01/2021,22.6,16.5,30.33,0,0,0,19,9
15,16/01/2021,21,16.9,20.94,1.8,1.8,4,39.8,339
16,17/01/2021,20.1,16.1,28.91,0.7,0.7,3,44.7,313
17,18/01/2021,19.9,16.4,23.97,2.6,2.6,7,51.8,321
18,19/01/2021,19.1,13.4,28.37,1.2,1.2,6,52.1,315
19,20/01/2021,17.9,13.3,23.8,0.3,0.3,1,41.3,316
20,21/01/2021,19,13.3,28.49,0,0,0,34.4,317
21,22/01/2021,19.7,15.9,27.78,0,0,0,43.6,331
22,23/01/2021,20.2,16.9,28.88,1,1,3,41,326
23,24/01/2021,21.1,15.4,30.07,0,0,0,33.1,346
24,25/01/2021,21.6,16.9,30.19,0,0,0,31.8,352
25,26/01/2021,22.5,16.2,30.62,0,0,0,29.9,355
26,27/01/2021,20.9,16.8,23.24,0.5,0.5,4,41.4,337
27,28/01/2021,19,11.2,24.14,2.1,2.1,11,33.8,179
28,29/01/2021,16.3,11.5,22.22,0.1,0.1,1,30.3,177
29,30/01/2021,20.5,12.5,28.97,0,0,0,22.2,130
30,31/01/2021,22.3,13.5,30.44,0,0,0,14.2,25
31,01/02/2021,21.8,13.7,30.59,0,0,0,13.8,112
32,02/02/2021,21.7,13.7,29.88,0,0,0,14,67
33,03/02/2021,21,15,26.54,0,0,0,32.5,170
34,04/02/2021,15.7,12.6,15.07,0.3,0.3,3,31.5,171
35,05/02/2021,18.8,13.7,18.48,0,0,0,22.2,141
36,06/02/2021,21.4,13.1,26.88,0,0,0,16.3,74
37,07/02/2021,20.6,15.5,26.88,0,0,0,28.7,342
38,08/02/2021,21,16.4,16.42,0,0,0,35.4,343
39,09/02/2021,20.5,17.5,19.58,6.4,6.4,8,34.8,341
40,10/02/2021,19.1,14.6,26.87,0,0,0,32.8,325
41,11/02/2021,18.3,13.6,22.77,1.1,1.1,6,32.8,306
42,12/02/2021,20.7,12,26.64,0,0,0,20.3,35
43,13/02/2021,19.6,14.9,21.22,0,0,0,26.5,339
44,14/02/2021,20.8,14.7,13.81,0,0,0,15.8,3
45,15/02/2021,20.1,15,12.47,24.6,24.6,20,43.4,170
46,16/02/2021,16.4,12.8,19.23,0,0,0,38.1,152
47,17/02/2021,18.4,10.2,27.57,0,0,0,22.6,149
48,18/02/2021,19.5,10.4,27.36,0,0,0,22,344
49,19/02/2021,20,14.6,25.83,0,0,0,22.5,353
50,20/02/2021,19.3,15.1,26.02,0,0,0,29.9,350
51,21/02/2021,21,15.5,25.62,0,0,0,26.4,346
52,22/02/2021,21.2,15.1,26.1,0,0,0,26.6,339
53,23/02/2021,21.9,16.7,25.98,0,0,0,32.9,341
54,24/02/2021,20.9,17.7,10.28,0.3,0.3,2,28.6,329
55,25/02/2021,22.9,16.8,16,0.3,0.3,2,8.7,150
56,26/02/2021,22.7,14.6,22.33,0,0,0,13.7,32
57,27/02/2021,22.1,16.3,18.59,0.2,0.2,1,10.3,356
58,28/02/2021,22.3,17.7,14.73,0.5,0.5,2,14.4,38
59,01/03/2021,21.2,17.3,20.52,1.7,1.7,7,24.8,4
60,02/03/2021,20.7,18.1,20.2,0.4,0.4,2,31.9,335
61,03/03/2021,20.5,17.3,19.21,0,0,0,29.5,332
62,04/03/2021,19.4,15.3,23.53,0,0,0,35,324
63,05/03/2021,20.6,17.3,17.91,0.6,0.6,2,35,336
64,06/03/2021,18.6,14.6,19.36,1,1,9,33.1,318
65,07/03/2021,17.8,13.5,14.96,0.3,0.3,2,22.7,227
66,08/03/2021,19.2,12.3,19.94,0,0,0,23.5,11
67,09/03/2021,19,16,12.23,1.1,1.1,4,42.4,330
68,10/03/2021,18.6,15.2,13.42,7.5,7.5,19,35.2,176
69,11/03/2021,16.8,12.9,20.95,0,0,0,23.4,148
70,12/03/2021,18.3,13.3,19.53,0,0,0,20.6,128
71,13/03/2021,19.3,12.6,22.55,0,0,0,24.1,18
72,14/03/2021,19.9,15.3,21.03,0,0,0,29.3,341
73,15/03/2021,19.7,17.4,11.06,5.1,5.1,12,37.5,331
